word,level,difficulty,meaning_zh,pos,topic,example,example_zh,parts_json,note,is_basic,accepted,source
artist,KET,2,艺术家；画家,n.,人物与职业,The artist paints a blue sea.,画家画了一片蓝色的大海。,"[{""text"": ""art"", ""kind"": ""root"", ""meaning"": ""艺术""}, {""text"": ""-ist"", ""kind"": ""suffix"", ""meaning"": ""从事某种活动的人""}]",art + -ist 表示从事艺术的人。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
singer,KET,2,歌手,n.,人物与职业,The singer comes from London.,这名歌手来自伦敦。,"[{""text"": ""sing"", ""kind"": ""root"", ""meaning"": ""唱""}, {""text"": ""-er"", ""kind"": ""suffix"", ""meaning"": ""做某事的人或物"", ""story"": ""表示做事者的 -er 有古英语 -ere 等历史来源。它常把动作变成做这个动作的人；比较级里的 -er 是另一种用法。"", ""source"": ""https://www.merriam-webster.com/dictionary/-er""}]",动作词 + -er，表示做这件事的人；printer 在本课指执行打印动作的机器。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
dancer,KET,2,舞蹈演员,n.,人物与职业,The dancer moves very quickly.,这名舞蹈演员动作很快。,"[{""text"": ""dance"", ""kind"": ""root"", ""meaning"": ""跳舞""}, {""text"": ""-er"", ""kind"": ""suffix"", ""meaning"": ""做某事的人或物"", ""story"": ""表示做事者的 -er 有古英语 -ere 等历史来源。它常把动作变成做这个动作的人；比较级里的 -er 是另一种用法。"", ""source"": ""https://www.merriam-webster.com/dictionary/-er""}]",词基以不发音的 e 结尾，接 -er 时先去掉 e，再加 -er。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
driver,KET,2,司机,n.,人物与职业,The driver stops near the school.,司机在学校附近停车。,"[{""text"": ""drive"", ""kind"": ""root"", ""meaning"": ""驾驶""}, {""text"": ""-er"", ""kind"": ""suffix"", ""meaning"": ""做某事的人或物"", ""story"": ""表示做事者的 -er 有古英语 -ere 等历史来源。它常把动作变成做这个动作的人；比较级里的 -er 是另一种用法。"", ""source"": ""https://www.merriam-webster.com/dictionary/-er""}]",词基以不发音的 e 结尾，接 -er 时先去掉 e，再加 -er。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
farmer,KET,2,农民,n.,人物与职业,The farmer grows carrots.,这位农民种胡萝卜。,"[{""text"": ""farm"", ""kind"": ""root"", ""meaning"": ""耕作""}, {""text"": ""-er"", ""kind"": ""suffix"", ""meaning"": ""做某事的人或物"", ""story"": ""表示做事者的 -er 有古英语 -ere 等历史来源。它常把动作变成做这个动作的人；比较级里的 -er 是另一种用法。"", ""source"": ""https://www.merriam-webster.com/dictionary/-er""}]",动作词 + -er，表示做这件事的人；printer 在本课指执行打印动作的机器。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
worker,KET,2,工人；工作者,n.,人物与职业,The worker repairs the door.,工人修理这扇门。,"[{""text"": ""work"", ""kind"": ""root"", ""meaning"": ""工作""}, {""text"": ""-er"", ""kind"": ""suffix"", ""meaning"": ""做某事的人或物"", ""story"": ""表示做事者的 -er 有古英语 -ere 等历史来源。它常把动作变成做这个动作的人；比较级里的 -er 是另一种用法。"", ""source"": ""https://www.merriam-webster.com/dictionary/-er""}]",动作词 + -er，表示做这件事的人；printer 在本课指执行打印动作的机器。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
writer,KET,2,作家,n.,人物与职业,This writer tells wonderful stories.,这位作家讲述精彩的故事。,"[{""text"": ""write"", ""kind"": ""root"", ""meaning"": ""写""}, {""text"": ""-er"", ""kind"": ""suffix"", ""meaning"": ""做某事的人或物"", ""story"": ""表示做事者的 -er 有古英语 -ere 等历史来源。它常把动作变成做这个动作的人；比较级里的 -er 是另一种用法。"", ""source"": ""https://www.merriam-webster.com/dictionary/-er""}]",词基以不发音的 e 结尾，接 -er 时先去掉 e，再加 -er。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
painter,KET,2,画家；油漆工,n.,人物与职业,The painter is painting our kitchen.,油漆工正在粉刷我们的厨房。,"[{""text"": ""paint"", ""kind"": ""root"", ""meaning"": ""画；涂漆""}, {""text"": ""-er"", ""kind"": ""suffix"", ""meaning"": ""做某事的人或物"", ""story"": ""表示做事者的 -er 有古英语 -ere 等历史来源。它常把动作变成做这个动作的人；比较级里的 -er 是另一种用法。"", ""source"": ""https://www.merriam-webster.com/dictionary/-er""}]",动作词 + -er，表示做这件事的人；printer 在本课指执行打印动作的机器。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
photographer,KET,3,摄影师,n.,人物与职业,The photographer takes a picture of us.,摄影师给我们拍了一张照片。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
doctor,KET,2,医生,n.,人物与职业,The doctor listens carefully.,医生仔细地听着。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
nurse,KET,2,护士,n.,人物与职业,The nurse brings me some water.,护士给我拿来一些水。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
dentist,KET,3,牙医,n.,人物与职业,I visit the dentist on Monday.,我星期一去看牙医。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
engineer,KET,3,工程师,n.,人物与职业,My aunt is an engineer.,我的姑姑是一名工程师。,[],本课整体记忆。相同字母不等于相同词根；请结合例句回忆实际含义。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
mechanic,KET,3,机械修理工,n.,人物与职业,The mechanic repairs my bike.,修理工修理我的自行车。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
waiter,KET,2,服务员,n.,人物与职业,The waiter brings our lunch.,服务员端来了我们的午饭。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
manager,KET,3,经理,n.,人物与职业,The manager opens the shop.,经理打开商店的门。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
customer,KET,3,顾客,n.,人物与职业,A customer wants a red jacket.,一位顾客想要一件红夹克。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
visitor,KET,2,来访者；游客,n.,人物与职业,The visitor asks for a map.,游客想要一张地图。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
tourist,KET,3,游客,n.,人物与职业,The tourist takes a photo of the bridge.,游客给桥拍了一张照片。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
beginner,KET,3,初学者,n.,人物与职业,This class is for a beginner.,这堂课适合初学者。,"[{""text"": ""begin"", ""kind"": ""root"", ""meaning"": ""开始""}, {""text"": ""-er"", ""kind"": ""suffix"", ""meaning"": ""做某事的人或物"", ""story"": ""表示做事者的 -er 有古英语 -ere 等历史来源。它常把动作变成做这个动作的人；比较级里的 -er 是另一种用法。"", ""source"": ""https://www.merriam-webster.com/dictionary/-er""}]",注意拼写：末尾辅音字母双写后再接 -er。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
player,KET,2,运动员；游戏参与者,n.,人物与职业,Each player has a number.,每个运动员都有一个号码。,"[{""text"": ""play"", ""kind"": ""root"", ""meaning"": ""玩；参加运动""}, {""text"": ""-er"", ""kind"": ""suffix"", ""meaning"": ""做某事的人或物"", ""story"": ""表示做事者的 -er 有古英语 -ere 等历史来源。它常把动作变成做这个动作的人；比较级里的 -er 是另一种用法。"", ""source"": ""https://www.merriam-webster.com/dictionary/-er""}]",动作词 + -er，表示做这件事的人；printer 在本课指执行打印动作的机器。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
runner,KET,2,跑步者,n.,人物与职业,The runner drinks some water.,跑步者喝了些水。,"[{""text"": ""run"", ""kind"": ""root"", ""meaning"": ""跑""}, {""text"": ""-er"", ""kind"": ""suffix"", ""meaning"": ""做某事的人或物"", ""story"": ""表示做事者的 -er 有古英语 -ere 等历史来源。它常把动作变成做这个动作的人；比较级里的 -er 是另一种用法。"", ""source"": ""https://www.merriam-webster.com/dictionary/-er""}]",注意拼写：末尾辅音字母双写后再接 -er。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
member,KET,2,成员,n.,人物与职业,I am a member of the chess club.,我是国际象棋俱乐部的成员。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
family,KET,1,家庭；家人,n.,家人与朋友,My family eats together on Sundays.,我的家人星期天一起吃饭。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
parent,KET,1,父亲或母亲,n.,家人与朋友,Each parent gets a school letter.,每位家长都收到一封学校来信。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
cousin,KET,1,堂兄弟姐妹；表兄弟姐妹,n.,家人与朋友,My cousin lives near the sea.,我的表妹住在海边。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
neighbour,KET,2,邻居,n.,家人与朋友,Our neighbour has a friendly dog.,我们的邻居有一只友善的狗。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,neighbor,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
grandmother,KET,1,祖母；外祖母,n.,家人与朋友,My grandmother makes lovely soup.,我的奶奶做的汤很好喝。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
grandfather,KET,1,祖父；外祖父,n.,家人与朋友,My grandfather likes fishing.,我的爷爷喜欢钓鱼。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
grandparent,KET,2,祖父母或外祖父母之一,n.,家人与朋友,One grandparent lives with us.,我的一位祖辈和我们住在一起。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
grandchild,KET,2,孙辈；外孙辈,n.,家人与朋友,Their youngest grandchild is six.,他们最小的孙辈六岁。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
teenager,KET,3,青少年,n.,家人与朋友,My brother is a teenager.,我的哥哥是个青少年。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
adult,KET,2,成年人；成年的,n.; adj.,家人与朋友,Children need an adult with them.,孩子需要一位成年人陪同。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
guest,KET,2,客人,n.,家人与朋友,We have a guest for dinner.,我们有一位客人来吃晚饭。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
husband,KET,2,丈夫,n.,家人与朋友,Her husband works at the library.,她的丈夫在图书馆工作。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
wife,KET,2,妻子,n.,家人与朋友,His wife is a music teacher.,他的妻子是一位音乐老师。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
friend,KET,1,朋友,n.,家人与朋友,My friend helps me with maths.,我的朋友帮我学数学。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
friendly,KET,1,友好的,adj.,家人与朋友,The new student is friendly.,新来的学生很友好。,"[{""text"": ""friend"", ""kind"": ""root"", ""meaning"": ""朋友""}, {""text"": ""-ly"", ""kind"": ""suffix"", ""meaning"": ""具有……特点的（构成形容词）""}]",friendly 中的 -ly 构成形容词，不能把所有 -ly 词都当作副词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
kind,KET,1,友善的,adj.,家人与朋友,It is kind of you to help.,你愿意帮忙真友善。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
alone,KET,2,独自的；独自,adj.; adv.,家人与朋友,She does not want to walk alone.,她不想独自走路。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
together,KET,2,一起,adv.,家人与朋友,We build a small house together.,我们一起搭一座小房子。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
invite,KET,2,邀请,v.,家人与朋友,Let's invite our neighbours.,我们邀请邻居吧。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
invitation,KET,3,邀请；请柬,n.,家人与朋友,I made an invitation for my party.,我给自己的聚会做了一张请柬。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
happy,KET,1,快乐的,adj.,感受与性格,I am happy to see you.,见到你我很开心。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
unhappy,KET,1,不开心的,adj.,感受与性格,He feels unhappy about the rain.,下雨让他不开心。,"[{""text"": ""un-"", ""kind"": ""prefix"", ""meaning"": ""不；非"", ""story"": ""表示否定的 un- 在古英语中就已存在，意思是“不”。给形容词加上它，常能把意思转向相反的一边。"", ""source"": ""https://www.merriam-webster.com/dictionary/un-""}, {""text"": ""happy"", ""kind"": ""root"", ""meaning"": ""快乐的""}]",先说出词基的意思，再想一想加上否定前缀后发生了什么变化。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
afraid,KET,1,害怕的,adj.,感受与性格,My sister is afraid of spiders.,我的妹妹怕蜘蛛。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
angry,KET,1,生气的,adj.,感受与性格,He is angry about the broken toy.,玩具坏了让他很生气。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
worried,KET,2,担心的,adj.,感受与性格,I am worried about my cat.,我很担心我的猫。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
excited,KET,2,兴奋的,adj.,感受与性格,We are excited about the trip.,我们对这次旅行很兴奋。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
exciting,KET,2,令人兴奋的,adj.,感受与性格,It is an exciting story.,这是一个令人兴奋的故事。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
interested,KET,3,感兴趣的,adj.,感受与性格,I am interested in robots.,我对机器人感兴趣。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
interesting,KET,3,有趣的,adj.,感受与性格,We find an interesting book.,我们找到了一本有趣的书。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
bored,KET,2,感到无聊的,adj.,感受与性格,I feel bored on the long journey.,长途旅行让我感到无聊。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
boring,KET,2,令人无聊的,adj.,感受与性格,This film is a little boring.,这部电影有点无聊。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
surprised,KET,3,惊讶的,adj.,感受与性格,She is surprised to see the cake.,看到蛋糕她很惊讶。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
tired,KET,1,疲倦的,adj.,感受与性格,I feel tired after the game.,比赛后我觉得累。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
hungry,KET,1,饥饿的,adj.,感受与性格,The children are hungry after school.,孩子们放学后饿了。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
thirsty,KET,1,口渴的,adj.,感受与性格,I am thirsty after running.,跑步后我口渴了。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
clever,KET,2,聪明的,adj.,感受与性格,The clever dog opens the gate.,这只聪明的狗打开了门。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
brave,KET,2,勇敢的,adj.,感受与性格,The brave child tries again.,勇敢的孩子又试了一次。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
careful,KET,3,小心的；仔细的,adj.,感受与性格,Be careful with the glass.,拿玻璃杯时要小心。,"[{""text"": ""care"", ""kind"": ""root"", ""meaning"": ""小心；关心""}, {""text"": ""-ful"", ""kind"": ""suffix"", ""meaning"": ""有……特征的；充满……的"", ""story"": ""-ful 可以追溯到古英语中表示“满的”的 full。如今它常表示具有某种特征；作后缀时只写一个 l。"", ""source"": ""https://www.merriam-webster.com/dictionary/-ful""}]",接上 -ful，常表示具有这个词基描述的特征。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
helpful,KET,3,乐于助人的；有帮助的,adj.,感受与性格,Your advice is helpful.,你的建议很有帮助。,"[{""text"": ""help"", ""kind"": ""root"", ""meaning"": ""帮助""}, {""text"": ""-ful"", ""kind"": ""suffix"", ""meaning"": ""有……特征的；充满……的"", ""story"": ""-ful 可以追溯到古英语中表示“满的”的 full。如今它常表示具有某种特征；作后缀时只写一个 l。"", ""source"": ""https://www.merriam-webster.com/dictionary/-ful""}]",接上 -ful，常表示具有这个词基描述的特征。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
polite,KET,3,有礼貌的,adj.,感受与性格,The child gives a polite answer.,孩子礼貌地回答了。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
lazy,KET,2,懒惰的,adj.,感受与性格,Our lazy cat sleeps all afternoon.,我们懒洋洋的猫睡了一下午。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
