word,level,difficulty,meaning_zh,pos,topic,example,example_zh,parts_json,note,is_basic,accepted,source,phonetic,definition_source,content_status,display_word,example_kind,story_title,story_zh,teacher_prompt,cloze,cloze_answer,cloze_zh,cloze_type,materials_version,example_source,examples_json,student_prompt
job,PET,1,工作；零活；职业,n.,人物与社会,We talked about the job today.,我们今天谈到了工作。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,dʒɒb,https://github.com/skywind3000/ECDICT,offline-materials,job,discussion,job · 单词里的小故事,小乐和朋友聊起今天的一件事。我们今天谈到了工作。小乐说：“We talked about the job today.”朋友听懂了，也想起自己遇到过的事。,,We talked about the __________ today.,job,我们今天谈到了工作。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 job 说一句自己的话。
occupation,PET,2,职业,n.,人物与社会,We talked about the occupation today.,我们今天谈到了职业。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,.ɒkju'peiʃәn,常用义教学修订；原词典见 ECDICT-LICENSE.txt,offline-materials,occupation,discussion,occupation · 单词里的小故事,小乐和朋友聊起今天的一件事。我们今天谈到了职业。小乐说：“We talked about the occupation today.”朋友听懂了，也想起自己遇到过的事。,,We talked about the __________ today.,occupation,我们今天谈到了职业。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 occupation 说一句自己的话。
profession,PET,2,职业；表白；声明,n.,人物与社会,We talked about the profession today.,我们今天谈到了职业。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,prә'feʃәn,https://github.com/skywind3000/ECDICT,offline-materials,profession,discussion,profession · 单词里的小故事,小乐和朋友聊起今天的一件事。我们今天谈到了职业。小乐说：“We talked about the profession today.”朋友听懂了，也想起自己遇到过的事。,,We talked about the __________ today.,profession,我们今天谈到了职业。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 profession 说一句自己的话。
sociable,PET,3,好交际的；社交的；过社会生活的,adj.,人物与社会,The person in the story is sociable.,故事里的那个人是好交际的。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,'sәuʃәbl,https://github.com/skywind3000/ECDICT,offline-materials,sociable,person-quality,sociable · 单词里的小故事,同学们在给故事人物选词卡，小乐找到了合适的一张。故事里的那个人是好交际的。小乐说：“The person in the story is sociable.”朋友听懂了，也想起自己遇到过的事。,,The person in the story is __________.,sociable,故事里的那个人是好交际的。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 sociable 说一句自己的话。
social,PET,1,社会的；群居的；社交的,adj.,人物与社会,We enjoy social activities.,我们喜欢社交活动。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,'sәuʃәl,https://github.com/skywind3000/ECDICT,offline-materials,social,authored,social · 单词里的小故事,小乐和朋友交换今天的小发现。我们喜欢社交活动。小乐说：“We enjoy social activities.”朋友听懂了，也想起自己遇到过的事。,,We enjoy __________ activities.,social,我们喜欢社交活动。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 social 说一句自己的话。
society,PET,1,社会；社交界；交往,n.,人物与社会,We talked about the society today.,我们今天谈到了社会。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,sә'saiәti,https://github.com/skywind3000/ECDICT,offline-materials,society,discussion,society · 单词里的小故事,小乐和朋友聊起今天的一件事。我们今天谈到了社会。小乐说：“We talked about the society today.”朋友听懂了，也想起自己遇到过的事。,,We talked about the __________ today.,society,我们今天谈到了社会。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 society 说一句自己的话。
staff,PET,1,全体员工,n.,人物与社会,We talked about the staff today.,我们今天谈到了全体员工。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,stɑ:f,常用义教学修订；原词典见 ECDICT-LICENSE.txt,offline-materials,staff,discussion,staff · 单词里的小故事,小乐和朋友聊起今天的一件事。我们今天谈到了全体员工。小乐说：“We talked about the staff today.”朋友听懂了，也想起自己遇到过的事。,,We talked about the __________ today.,staff,我们今天谈到了全体员工。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 staff 说一句自己的话。
work,PET,1,工作；劳动；职业,n; v.,人物与社会,We talked about the work today.,我们今天谈到了工作。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,1,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,wә:k,https://github.com/skywind3000/ECDICT,offline-materials,work,discussion,work · 单词里的小故事,小乐和朋友聊起今天的一件事。我们今天谈到了工作。小乐说：“We talked about the work today.”朋友听懂了，也想起自己遇到过的事。,,We talked about the __________ today.,work,我们今天谈到了工作。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 work 说一句自己的话。
actor,PET,2,演员,n.,人物与职业,The actor wears a funny hat.,那名演员戴着一顶有趣的帽子。,"[{""text"": ""act"", ""kind"": ""root"", ""meaning"": ""表演""}, {""text"": ""-or"", ""kind"": ""suffix"", ""meaning"": ""做某事的人"", ""story"": ""-or 的一条来路是法语，更早能追到拉丁语。它常把注意力从一个动作，转到做这个动作的人身上。看到这样的结尾，可以先问：这是谁在做什么？"", ""source"": ""https://www.merriam-webster.com/dictionary/-or""}]",act + -or 表示表演的人。这个词使用 -or，不是 -er。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,'æktә,原创课堂释义与例句,offline-materials,actor,authored,actor · 单词里的小故事,小乐和朋友交换今天的小发现。那名演员戴着一顶有趣的帽子。小乐说：“The actor wears a funny hat.”朋友听懂了，也想起自己遇到过的事。,,The __________ wears a funny hat.,actor,那名演员戴着一顶有趣的帽子。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,"[{""en"": ""The actor plays a father in the film."", ""zh"": ""这位演员在电影里扮演一位父亲。""}]",想象你也在这个场景里。用 actor 说一句自己的话。
artist,PET,2,艺术家；画家,n.,人物与职业,The artist paints a blue sea.,画家画了一片蓝色的大海。,"[{""text"": ""art"", ""kind"": ""root"", ""meaning"": ""艺术""}, {""text"": ""-ist"", ""kind"": ""suffix"", ""meaning"": ""从事某种活动的人"", ""story"": ""-ist 经过法语和拉丁语，能追溯到古希腊语。它常出现在某种活动的参与者、乐器演奏者或专业人士的名字里。这个小小的结尾，好像在介绍一个人的本领。"", ""source"": ""https://www.merriam-webster.com/dictionary/-ist""}]",art + -ist 表示从事艺术的人。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,'ɑ:tist,原创课堂释义与例句,offline-materials,artist,authored,artist · 单词里的小故事,小乐和朋友交换今天的小发现。画家画了一片蓝色的大海。小乐说：“The artist paints a blue sea.”朋友听懂了，也想起自己遇到过的事。,,The __________ paints a blue sea.,artist,画家画了一片蓝色的大海。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,"[{""en"": ""The artist draws a picture of our town."", ""zh"": ""这位艺术家画了一幅我们小镇的画。""}]",想象你也在这个场景里。用 artist 说一句自己的话。
beginner,PET,3,初学者,n.,人物与职业,This class is for a beginner.,这堂课适合初学者。,"[{""text"": ""begin"", ""kind"": ""root"", ""meaning"": ""开始""}, {""text"": ""-er"", ""kind"": ""suffix"", ""meaning"": ""做某事的人或物"", ""story"": ""表示做事者的 -er 有古英语 -ere 等历史来源。它常把动作变成做这个动作的人或工具。先找到动作，再问“谁来做”，就能串起一组词。比较级里的 -er 是另一种用法。"", ""source"": ""https://www.merriam-webster.com/dictionary/-er""}]",注意拼写：末尾辅音字母双写后再接 -er。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,bi'ginә,原创课堂释义与例句,offline-materials,beginner,authored,beginner · 单词里的小故事,小乐和朋友交换今天的小发现。这堂课适合初学者。小乐说：“This class is for a beginner.”朋友听懂了，也想起自己遇到过的事。,,This class is for a __________.,beginner,这堂课适合初学者。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 beginner 说一句自己的话。
customer,PET,3,顾客,n.,人物与职业,A customer wants a red jacket.,一位顾客想要一件红夹克。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,'kʌstәmә,原创课堂释义与例句,offline-materials,customer,authored,customer · 单词里的小故事,小乐和朋友交换今天的小发现。一位顾客想要一件红夹克。小乐说：“A customer wants a red jacket.”朋友听懂了，也想起自己遇到过的事。,,A __________ wants a red jacket.,customer,一位顾客想要一件红夹克。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 customer 说一句自己的话。
dancer,PET,2,舞蹈演员,n.,人物与职业,The dancer moves very quickly.,这名舞蹈演员动作很快。,"[{""text"": ""dance"", ""kind"": ""root"", ""meaning"": ""跳舞""}, {""text"": ""-er"", ""kind"": ""suffix"", ""meaning"": ""做某事的人或物"", ""story"": ""表示做事者的 -er 有古英语 -ere 等历史来源。它常把动作变成做这个动作的人或工具。先找到动作，再问“谁来做”，就能串起一组词。比较级里的 -er 是另一种用法。"", ""source"": ""https://www.merriam-webster.com/dictionary/-er""}]",词基以不发音的 e 结尾，接 -er 时先去掉 e，再加 -er。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,'dɑ:nsә,原创课堂释义与例句,offline-materials,dancer,authored,dancer · 单词里的小故事,小乐和朋友交换今天的小发现。这名舞蹈演员动作很快。小乐说：“The dancer moves very quickly.”朋友听懂了，也想起自己遇到过的事。,,The __________ moves very quickly.,dancer,这名舞蹈演员动作很快。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 dancer 说一句自己的话。
dentist,PET,3,牙医,n.,人物与职业,I visit the dentist on Monday.,我星期一去看牙医。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,'dentist,原创课堂释义与例句,offline-materials,dentist,authored,dentist · 单词里的小故事,小乐坐上大椅子，张开嘴。牙医用小镜子看了看每颗牙齿，告诉她怎样刷得更干净。她记住了这个帮助牙齿的人。这就是 dentist 留下的画面。,,I visit the __________ on Monday.,dentist,我星期一去看牙医。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,"[{""en"": ""The dentist asks me to open my mouth."", ""zh"": ""牙医让我张开嘴。""}]",去看牙医时，你会听到哪些简单的提醒？
doctor,PET,2,医生,n.,人物与职业,The doctor listens carefully.,医生仔细地听着。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,'dɒktә,原创课堂释义与例句,offline-materials,doctor,authored,doctor · 单词里的小故事,小乐和朋友交换今天的小发现。医生仔细地听着。小乐说：“The doctor listens carefully.”朋友听懂了，也想起自己遇到过的事。,,The __________ listens carefully.,doctor,医生仔细地听着。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 doctor 说一句自己的话。
driver,PET,2,司机,n.,人物与职业,The driver stops near the school.,司机在学校附近停车。,"[{""text"": ""drive"", ""kind"": ""root"", ""meaning"": ""驾驶""}, {""text"": ""-er"", ""kind"": ""suffix"", ""meaning"": ""做某事的人或物"", ""story"": ""表示做事者的 -er 有古英语 -ere 等历史来源。它常把动作变成做这个动作的人或工具。先找到动作，再问“谁来做”，就能串起一组词。比较级里的 -er 是另一种用法。"", ""source"": ""https://www.merriam-webster.com/dictionary/-er""}]",词基以不发音的 e 结尾，接 -er 时先去掉 e，再加 -er。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,'draivә,原创课堂释义与例句,offline-materials,driver,authored,driver · 单词里的小故事,下雨了，校车慢慢停在路边。司机等孩子们坐好，才继续开车。小乐望着前方，想起这个词和“驾驶”之间的联系。这就是 driver 留下的画面。,,The __________ stops near the school.,driver,司机在学校附近停车。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,"[{""en"": ""The driver stops near my school."", ""zh"": ""司机在我的学校附近停车。""}]",司机开车前需要注意什么？
engineer,PET,3,工程师,n.,人物与职业,My aunt is an engineer.,我的姑姑是一名工程师。,[],本课整体记忆。相同字母不等于相同词根；请结合例句回忆实际含义。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,.endʒi'niә,原创课堂释义与例句,offline-materials,engineer,authored,engineer · 单词里的小故事,小乐和朋友交换今天的小发现。我的姑姑是一名工程师。小乐说：“My aunt is an engineer.”朋友听懂了，也想起自己遇到过的事。,,My aunt is an __________.,engineer,我的姑姑是一名工程师。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 engineer 说一句自己的话。
farmer,PET,2,农民,n.,人物与职业,The farmer grows carrots.,这位农民种胡萝卜。,"[{""text"": ""farm"", ""kind"": ""root"", ""meaning"": ""耕作""}, {""text"": ""-er"", ""kind"": ""suffix"", ""meaning"": ""做某事的人或物"", ""story"": ""表示做事者的 -er 有古英语 -ere 等历史来源。它常把动作变成做这个动作的人或工具。先找到动作，再问“谁来做”，就能串起一组词。比较级里的 -er 是另一种用法。"", ""source"": ""https://www.merriam-webster.com/dictionary/-er""}]",动作词 + -er，表示做这件事的人；printer 在本课指执行打印动作的机器。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,'fɑ:mә,原创课堂释义与例句,offline-materials,farmer,authored,farmer · 单词里的小故事,小乐和朋友交换今天的小发现。这位农民种胡萝卜。小乐说：“The farmer grows carrots.”朋友听懂了，也想起自己遇到过的事。,,The __________ grows carrots.,farmer,这位农民种胡萝卜。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,"[{""en"": ""The farmer gets up before the sun comes out."", ""zh"": ""这位农民在太阳出来前起床。""}]",想象你也在这个场景里。用 farmer 说一句自己的话。
manager,PET,3,经理,n.,人物与职业,The manager opens the shop.,经理打开商店的门。,"[{""text"": ""manage"", ""kind"": ""root"", ""meaning"": ""管理""}, {""text"": ""-er"", ""kind"": ""suffix"", ""meaning"": ""做某事的人或物"", ""story"": ""表示做事者的 -er 有古英语 -ere 等历史来源。它常把动作变成做这个动作的人或工具。先找到动作，再问“谁来做”，就能串起一组词。比较级里的 -er 是另一种用法。"", ""source"": ""https://www.merriam-webster.com/dictionary/-er""}]",这是词基与派生词的关系。拼写发生了变化，请把本课目标单词完整写对；构词成分不是原词的逐字切片。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,'mænidʒә,原创课堂释义与例句,offline-materials,manager,authored,manager · 单词里的小故事,小乐和朋友交换今天的小发现。经理打开商店的门。小乐说：“The manager opens the shop.”朋友听懂了，也想起自己遇到过的事。,,The __________ opens the shop.,manager,经理打开商店的门。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 manager 说一句自己的话。
mechanic,PET,3,机械修理工,n.,人物与职业,The mechanic repairs my bike.,修理工修理我的自行车。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,mi'kænik,原创课堂释义与例句,offline-materials,mechanic,authored,mechanic · 单词里的小故事,小乐和朋友交换今天的小发现。修理工修理我的自行车。小乐说：“The mechanic repairs my bike.”朋友听懂了，也想起自己遇到过的事。,,The __________ repairs my bike.,mechanic,修理工修理我的自行车。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 mechanic 说一句自己的话。
member,PET,2,成员,n.,人物与职业,I am a member of the chess club.,我是国际象棋俱乐部的成员。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,'membә,原创课堂释义与例句,offline-materials,member,authored,member · 单词里的小故事,小乐和朋友交换今天的小发现。我是国际象棋俱乐部的成员。小乐说：“I am a member of the chess club.”朋友听懂了，也想起自己遇到过的事。,,I am a __________ of the chess club.,member,我是国际象棋俱乐部的成员。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 member 说一句自己的话。
nurse,PET,2,护士,n.,人物与职业,The nurse brings me some water.,护士给我拿来一些水。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,nә:s,原创课堂释义与例句,offline-materials,nurse,authored,nurse · 单词里的小故事,小乐和朋友交换今天的小发现。护士给我拿来一些水。小乐说：“The nurse brings me some water.”朋友听懂了，也想起自己遇到过的事。,,The __________ brings me some water.,nurse,护士给我拿来一些水。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 nurse 说一句自己的话。
painter,PET,2,画家；油漆工,n.,人物与职业,The painter is painting our kitchen.,油漆工正在粉刷我们的厨房。,"[{""text"": ""paint"", ""kind"": ""root"", ""meaning"": ""画；涂漆""}, {""text"": ""-er"", ""kind"": ""suffix"", ""meaning"": ""做某事的人或物"", ""story"": ""表示做事者的 -er 有古英语 -ere 等历史来源。它常把动作变成做这个动作的人或工具。先找到动作，再问“谁来做”，就能串起一组词。比较级里的 -er 是另一种用法。"", ""source"": ""https://www.merriam-webster.com/dictionary/-er""}]",动作词 + -er，表示做这件事的人；printer 在本课指执行打印动作的机器。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,'peintә,原创课堂释义与例句,offline-materials,painter,authored,painter · 单词里的小故事,小乐和朋友交换今天的小发现。油漆工正在粉刷我们的厨房。小乐说：“The painter is painting our kitchen.”朋友听懂了，也想起自己遇到过的事。,,The __________ is painting our kitchen.,painter,油漆工正在粉刷我们的厨房。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,"[{""en"": ""The painter uses red and blue."", ""zh"": ""这位画家使用红色和蓝色。""}]",想象你也在这个场景里。用 painter 说一句自己的话。
