#-er|suffix|做某事的人或物
baker|bake|烘烤
unpleasant|pleasant|令人愉快的
unreliable|reliable|可靠的
unsuccessful|successful|成功的
untidy|tidy|整洁的
unusual|usual|通常的
#un-|prefix|解除；逆转动作
undress|dress|穿衣
unlock|lock|锁上
unpack|pack|打包
#dis-|prefix|不；相反；除去
disagree|agree|同意
disappear|appear|出现
disconnect|connect|连接
dishonest|honest|诚实的
dislike|like|喜欢
disobey|obey|遵守
#re-|prefix|再次；重新
rebuild|build|建造
recycle|cycle|循环
redo|do|做
refill|fill|装满
remake|make|制作
rename|name|命名
reopen|open|打开
replay|play|播放；比赛
restart|start|开始
reuse|use|使用
rewrite|write|写
#over-|prefix|过度；超过
overcook|cook|烹饪
overcrowded|crowded|拥挤的
overheat|heat|加热
oversleep|sleep|睡觉
overweight|weight|体重
#inter-|prefix|相互；在……之间
international|national|国家的
#-ous|suffix|有……性质的
dangerous|danger|危险
mountainous|mountain|山
poisonous|poison|毒
