word,level,difficulty,meaning_zh,pos,topic,example,example_zh,parts_json,note,is_basic,accepted,source,phonetic,definition_source,content_status,display_word,example_kind,story_title,story_zh,teacher_prompt,cloze,cloze_answer,cloze_zh,cloze_type,materials_version,example_source,examples_json,student_prompt
society,PET,1,社会；社交界；交往,n.,人物与社会,We talked about the society today.,我们今天谈到了社会。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,sә'saiәti,https://github.com/skywind3000/ECDICT,offline-materials,society,discussion,society · 单词里的小故事,小乐和朋友聊起今天的一件事。我们今天谈到了社会。小乐说：“We talked about the society today.”朋友听懂了，也想起自己遇到过的事。,,We talked about the __________ today.,society,我们今天谈到了社会。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 society 说一句自己的话。
bring up,PET,3,教育；培养；提出,phr v.,学校与学习,She wants to bring up her children here.,她想在这里养育孩子。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,,https://github.com/skywind3000/ECDICT,offline-materials,bring up,authored,bring up · 单词里的小故事,小乐和朋友交换今天的小发现。她想在这里养育孩子。小乐说：“She wants to bring up her children here.”朋友听懂了，也想起自己遇到过的事。,,She wants to __________ her children here.,bring up,她想在这里养育孩子。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 bring up 说一句自己的话。
curriculum,PET,1,课程,n.,学校与学习,We learn about curriculum at school.,我们在学校学习课程。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,kә'rikjulәm,https://github.com/skywind3000/ECDICT,offline-materials,curriculum,school,curriculum · 单词里的小故事,小乐把今天在学校学到的内容讲给家人听。我们在学校学习课程。小乐说：“We learn about curriculum at school.”朋友听懂了，也想起自己遇到过的事。,,We learn about __________ at school.,curriculum,我们在学校学习课程。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 curriculum 说一句自己的话。
education,PET,1,教育,n.,学校与学习,Good education helps children grow.,良好的教育帮助孩子成长。,"[{""text"": ""educate"", ""kind"": ""root"", ""meaning"": ""教育""}, {""text"": ""-ion"", ""kind"": ""suffix"", ""meaning"": ""动作或结果（构成名词）"", ""story"": ""-ion 经由法语进入英语，更早来自拉丁语。它常把一个动作、过程或状态当作一件可以谈论的事。词基像动作的起点，结尾则帮助我们给它取一个名字。"", ""source"": ""https://www.merriam-webster.com/dictionary/-ion""}]",这是词基与派生词的关系。拼写发生了变化，请把本课目标单词完整写对；构词成分不是原词的逐字切片。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,.edju'keiʃәn,原创课堂释义与例句,offline-materials,education,authored,education · 单词里的小故事,小乐和朋友交换今天的小发现。良好的教育帮助孩子成长。小乐说：“Good education helps children grow.”朋友听懂了，也想起自己遇到过的事。,,Good __________ helps children grow.,education,良好的教育帮助孩子成长。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,"[{""en"": ""Every child needs a good education."", ""zh"": ""每个孩子都需要良好的教育。""}]",想象你也在这个场景里。用 education 说一句自己的话。
blind,PET,2,失明的,adj.,感受与表达,The person in the story is blind.,故事里的那个人是失明的。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,blaind,常用义教学修订；原词典见 ECDICT-LICENSE.txt,offline-materials,blind,person-quality,blind · 单词里的小故事,同学们在给故事人物选词卡，小乐找到了合适的一张。故事里的那个人是失明的。小乐说：“The person in the story is blind.”朋友听懂了，也想起自己遇到过的事。,,The person in the story is __________.,blind,故事里的那个人是失明的。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 blind 说一句自己的话。
cheerful,PET,2,快活的；高兴的；兴高采烈的,adj.,感受与表达,I feel cheerful today.,我今天感到快活的。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,'tʃiәful,https://github.com/skywind3000/ECDICT,offline-materials,cheerful,feeling,cheerful · 单词里的小故事,老师请大家用一个词说说今天的感受，小乐先举了手。我今天感到快活的。小乐说：“I feel cheerful today.”朋友听懂了，也想起自己遇到过的事。,,I feel __________ today.,cheerful,我今天感到快活的。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 cheerful 说一句自己的话。
consider,PET,1,考虑；思考；认为,v.,感受与表达,Please consider my idea.,请考虑一下我的想法。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,kәn'sidŋ,https://github.com/skywind3000/ECDICT,offline-materials,consider,authored,consider · 单词里的小故事,小乐和朋友交换今天的小发现。请考虑一下我的想法。小乐说：“Please consider my idea.”朋友听懂了，也想起自己遇到过的事。,,Please __________ my idea.,consider,请考虑一下我的想法。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 consider 说一句自己的话。
delighted,PET,2,高兴的；快乐的,adj.,感受与表达,I feel delighted today.,我今天感到高兴的。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,di'laitid,https://github.com/skywind3000/ECDICT,offline-materials,delighted,feeling,delighted · 单词里的小故事,老师请大家用一个词说说今天的感受，小乐先举了手。我今天感到高兴的。小乐说：“I feel delighted today.”朋友听懂了，也想起自己遇到过的事。,,I feel __________ today.,delighted,我今天感到高兴的。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 delighted 说一句自己的话。
feel like,PET,3,摸起来像是…；有…的感觉；想要…,v.,感受与表达,I feel like going for a walk.,我想去散步。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,fi:l laik,https://github.com/skywind3000/ECDICT,offline-materials,feel like,authored,feel like · 单词里的小故事,小乐和朋友交换今天的小发现。我想去散步。小乐说：“I feel like going for a walk.”朋友听懂了，也想起自己遇到过的事。,,I __________ going for a walk.,feel like,我想去散步。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 feel like 说一句自己的话。
humour,PET,2,幽默；诙谐；情绪,n.,感受与表达,We talked about the humour today.,我们今天谈到了幽默。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,'hju:mә,https://github.com/skywind3000/ECDICT,offline-materials,humour,discussion,humour · 单词里的小故事,小乐和朋友聊起今天的一件事。我们今天谈到了幽默。小乐说：“We talked about the humour today.”朋友听懂了，也想起自己遇到过的事。,,We talked about the __________ today.,humour,我们今天谈到了幽默。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 humour 说一句自己的话。
pleasure,PET,1,快乐；愉快；令人高兴的事,n.,感受与表达,We talked about the pleasure today.,我们今天谈到了快乐。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,'pleʒә,https://github.com/skywind3000/ECDICT,offline-materials,pleasure,discussion,pleasure · 单词里的小故事,小乐和朋友聊起今天的一件事。我们今天谈到了快乐。小乐说：“We talked about the pleasure today.”朋友听懂了，也想起自己遇到过的事。,,We talked about the __________ today.,pleasure,我们今天谈到了快乐。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 pleasure 说一句自己的话。
sense,PET,1,感觉；含义,n.,感受与表达,We talked about the sense today.,我们今天谈到了感觉。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,sens,常用义教学修订；原词典见 ECDICT-LICENSE.txt,offline-materials,sense,discussion,sense · 单词里的小故事,小乐和朋友聊起今天的一件事。我们今天谈到了感觉。小乐说：“We talked about the sense today.”朋友听懂了，也想起自己遇到过的事。,,We talked about the __________ today.,sense,我们今天谈到了感觉。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 sense 说一句自己的话。
sensible,PET,2,明智的；合理的,adj.,感受与表达,The person in the story is sensible.,故事里的那个人是明智的。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,'sensәbl,常用义教学修订；原词典见 ECDICT-LICENSE.txt,offline-materials,sensible,person-quality,sensible · 单词里的小故事,同学们在给故事人物选词卡，小乐找到了合适的一张。故事里的那个人是明智的。小乐说：“The person in the story is sensible.”朋友听懂了，也想起自己遇到过的事。,,The person in the story is __________.,sensible,故事里的那个人是明智的。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 sensible 说一句自己的话。
sore,PET,2,悲伤的；痛的；引起痛苦的,adj.,感受与表达,I have a sore throat.,我喉咙痛。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,sɒ:,https://github.com/skywind3000/ECDICT,offline-materials,sore,authored,sore · 单词里的小故事,小乐和朋友交换今天的小发现。我喉咙痛。小乐说：“I have a sore throat.”朋友听懂了，也想起自己遇到过的事。,,I have a __________ throat.,sore,我喉咙痛。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 sore 说一句自己的话。
suggestion,PET,1,提议；意见,n.,感受与表达,We talked about the suggestion today.,我们今天谈到了提议。,"[{""text"": ""suggest"", ""kind"": ""root"", ""meaning"": ""建议""}, {""text"": ""-ion"", ""kind"": ""suffix"", ""meaning"": ""动作或结果（构成名词）"", ""story"": ""-ion 经由法语进入英语，更早来自拉丁语。它常把一个动作、过程或状态当作一件可以谈论的事。词基像动作的起点，结尾则帮助我们给它取一个名字。"", ""source"": ""https://www.merriam-webster.com/dictionary/-ion""}]",先理解词基，再看词缀如何改变含义或词性。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,sә'dʒestʃәn,https://github.com/skywind3000/ECDICT,offline-materials,suggestion,discussion,suggestion · 单词里的小故事,小乐和朋友聊起今天的一件事。我们今天谈到了提议。小乐说：“We talked about the suggestion today.”朋友听懂了，也想起自己遇到过的事。,,We talked about the __________ today.,suggestion,我们今天谈到了提议。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 suggestion 说一句自己的话。
astronaut,PET,3,太空旅行者；宇航员,n.,旅行与城市,This story is about an astronaut.,这个故事讲的是一位太空旅行者。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,'æstrәnɒ:t,https://github.com/skywind3000/ECDICT,offline-materials,astronaut,person,astronaut · 单词里的小故事,读书会轮到小乐介绍故事里的一个人物。这个故事讲的是一位太空旅行者。小乐说：“This story is about an astronaut.”朋友听懂了，也想起自己遇到过的事。,,This story is about an __________.,astronaut,这个故事讲的是一位太空旅行者。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 astronaut 说一句自己的话。
backpacker,PET,3,背包旅行者,n.,旅行与城市,This story is about a backpacker.,这个故事讲的是一位背包旅行者。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,'bæk.pækә,https://github.com/skywind3000/ECDICT,offline-materials,backpacker,person,backpacker · 单词里的小故事,读书会轮到小乐介绍故事里的一个人物。这个故事讲的是一位背包旅行者。小乐说：“This story is about a backpacker.”朋友听懂了，也想起自己遇到过的事。,,This story is about a __________.,backpacker,这个故事讲的是一位背包旅行者。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 backpacker 说一句自己的话。
backpacking,PET,3,徒步旅行,n.,旅行与城市,We talked about the backpacking today.,我们今天谈到了徒步旅行。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,"'bæk,pækɪŋ",https://github.com/skywind3000/ECDICT,offline-materials,backpacking,discussion,backpacking · 单词里的小故事,小乐和朋友聊起今天的一件事。我们今天谈到了徒步旅行。小乐说：“We talked about the backpacking today.”朋友听懂了，也想起自己遇到过的事。,,We talked about the __________ today.,backpacking,我们今天谈到了徒步旅行。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 backpacking 说一句自己的话。
boarding pass,PET,3,登机卡；飞机票,n.,旅行与城市,We talked about the boarding pass today.,我们今天谈到了登机卡。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,,https://github.com/skywind3000/ECDICT,offline-materials,boarding pass,discussion,boarding pass · 单词里的小故事,小乐和朋友聊起今天的一件事。我们今天谈到了登机卡。小乐说：“We talked about the boarding pass today.”朋友听懂了，也想起自己遇到过的事。,,We talked about the __________ today.,boarding pass,我们今天谈到了登机卡。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 boarding pass 说一句自己的话。
hike,PET,3,步行；徒步旅行；上升,v.,旅行与城市,We hike in the hills at weekends.,我们周末在山间徒步。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,haik,https://github.com/skywind3000/ECDICT,offline-materials,hike,authored,hike · 单词里的小故事,小乐和朋友交换今天的小发现。我们周末在山间徒步。小乐说：“We hike in the hills at weekends.”朋友听懂了，也想起自己遇到过的事。,,We __________ in the hills at weekends.,hike,我们周末在山间徒步。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 hike 说一句自己的话。
on board,PET,3,在船/车/飞机上；在公共交通车辆上,prep phr.,旅行与城市,All the children are on board the bus.,所有孩子都上了公交车。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,,https://github.com/skywind3000/ECDICT,offline-materials,on board,authored,on board · 单词里的小故事,小乐和朋友交换今天的小发现。所有孩子都上了公交车。小乐说：“All the children are on board the bus.”朋友听懂了，也想起自己遇到过的事。,,All the children are __________ the bus.,on board,所有孩子都上了公交车。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 on board 说一句自己的话。
travel agent,PET,3,旅行代理人,n.,旅行与城市,This story is about a travel agent.,这个故事讲的是一位旅行代理人。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,,https://github.com/skywind3000/ECDICT,offline-materials,travel agent,person,travel agent · 单词里的小故事,读书会轮到小乐介绍故事里的一个人物。这个故事讲的是一位旅行代理人。小乐说：“This story is about a travel agent.”朋友听懂了，也想起自己遇到过的事。,,This story is about a __________.,travel agent,这个故事讲的是一位旅行代理人。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 travel agent 说一句自己的话。
ability,PET,1,能力；才干,n.,日常沟通,We talked about the ability today.,我们今天谈到了能力。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,ә'biliti,https://github.com/skywind3000/ECDICT,offline-materials,ability,discussion,ability · 单词里的小故事,小乐和朋友聊起今天的一件事。我们今天谈到了能力。小乐说：“We talked about the ability today.”朋友听懂了，也想起自己遇到过的事。,,We talked about the __________ today.,ability,我们今天谈到了能力。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 ability 说一句自己的话。
abroad,PET,2,往国外；到室外；到处,adv.,日常沟通,My aunt lives abroad.,我的阿姨住在国外。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,ә'brɒ:d,https://github.com/skywind3000/ECDICT,offline-materials,abroad,authored,abroad · 单词里的小故事,小乐和朋友交换今天的小发现。我的阿姨住在国外。小乐说：“My aunt lives abroad.”朋友听懂了，也想起自己遇到过的事。,,My aunt lives __________.,abroad,我的阿姨住在国外。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 abroad 说一句自己的话。
absent,PET,2,缺席的；不在的；缺乏的,adj.,日常沟通,The person in the story is absent.,故事里的那个人是缺席的。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,'æbsәnt,https://github.com/skywind3000/ECDICT,offline-materials,absent,person-quality,absent · 单词里的小故事,同学们在给故事人物选词卡，小乐找到了合适的一张。故事里的那个人是缺席的。小乐说：“The person in the story is absent.”朋友听懂了，也想起自己遇到过的事。,,The person in the story is __________.,absent,故事里的那个人是缺席的。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 absent 说一句自己的话。
absolutely,PET,1,完全地；绝对地；确确实实地,adv.,日常沟通,You are absolutely right.,你完全正确。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,'æbsәlu:tli,https://github.com/skywind3000/ECDICT,offline-materials,absolutely,authored,absolutely · 单词里的小故事,小乐和朋友交换今天的小发现。你完全正确。小乐说：“You are absolutely right.”朋友听懂了，也想起自己遇到过的事。,,You are __________ right.,absolutely,你完全正确。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 absolutely 说一句自己的话。
accent,PET,2,重音；口音；特点,n.,日常沟通,We talked about the accent today.,我们今天谈到了重音。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,'æksәnt,https://github.com/skywind3000/ECDICT,offline-materials,accent,discussion,accent · 单词里的小故事,小乐和朋友聊起今天的一件事。我们今天谈到了重音。小乐说：“We talked about the accent today.”朋友听懂了，也想起自己遇到过的事。,,We talked about the __________ today.,accent,我们今天谈到了重音。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 accent 说一句自己的话。
accept,PET,1,接受；承认；同意,v.,日常沟通,Please accept this small gift.,请收下这份小礼物。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,әk'sept,https://github.com/skywind3000/ECDICT,offline-materials,accept,authored,accept · 单词里的小故事,小乐和朋友交换今天的小发现。请收下这份小礼物。小乐说：“Please accept this small gift.”朋友听懂了，也想起自己遇到过的事。,,Please __________ this small gift.,accept,请收下这份小礼物。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 accept 说一句自己的话。
